STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-09,0,71,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-10,0,77,46,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-11,0,87,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-12,0,96,56,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-13,0,93,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-14,0,85,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-15,0,77,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-16,0,78,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-17,0,,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-18,0,83,60,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-19,0,87,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-20,0,81,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-21,0,88,50,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-22,0,99,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-23,0,102,61,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-24,0,87,59,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-25,0,83,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-26,0,87,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-27,0,78,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-28,0,79,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-29,0,91,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-06-30,0,98,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-01,0,89,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-02,0,79,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-03,0,81,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-04,0,77,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-05,0,89,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-06,0,96,64,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-07,0,94,60,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-08,0,92,59,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-09,0,96,56,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-10,0,94,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-11,0,95,55,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-12,0,93,60,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-13,0,93,66,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-14,0,88,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-15,0,87,55,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-16,0,93,56,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-17,0,96,56,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-18,0,96,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-19,0,98,60,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-20,0,94,61,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-21,0,89,62,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-22,0,89,60,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-23,0,93,59,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-24,0,95,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-25,0,99,60,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-26,0,92,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-27,0,87,55,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-28,0,93,55,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-29,0,87,55,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-30,0,92,56,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-07-31,0,90,56,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-01,0,88,55,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-02,0,87,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-03,0,95,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-04,0,95,59,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-05,0,90,56,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-06,0,96,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-07,0,86,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-08,0,93,55,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-09,0,100,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-10,0,98,60,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-11,0,93,63,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-12,0,94,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-13,0,82,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-14,0,75,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-15,0,77,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-16,0,86,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-17,0,96,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-18,0,99,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-19,0,93,56,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-20,0,82,55,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-21,0,73,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-22,0,79,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-23,0,76,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-24,0,79,56,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-25,0,85,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-26,0,82,52,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-27,0,78,56,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-28,0,75,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-29,0,79,53,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-30,0,75,58,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-08-31,0,84,57,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-09-01,0,85,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-09-02,0,92,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-09-03,0,86,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-09-04,0,90,56,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-09-05,0,81,55,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-09-06,0,86,55,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-09-07,0,95,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-09-08,0,91,54,
USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",2018-09-09,0,92,51,
